"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","con","sex","age","moliv","faliv","sib","cuz","roma","sibliv","cuzliv","orient","init","sibgen","cond","init.1","n_switch_so","n_switch_os","loc_so","loc_os","wtr_so_est","wtr_os_est","WTRos_1","WTRos_10","WTRos_2","WTRos_3","WTRos_4","WTRos_5","WTRos_6","WTRos_7","WTRos_8","WTRos_9","WTRso_1","WTRso_10","WTRso_2","WTRso_3","WTRso_4","WTRso_5","WTRso_6","WTRso_7","WTRso_8","WTRso_9","scenario","grateful","happy","obligated","want","scenario_val","log_scenario_val","mean_log_val"
"2013-12-18 15:19:01","2013-12-18 15:28:31","IP Address","98.226.1.197",NA,"570","true","2013-12-18 15:28:31","R_0dGh9Y1zJEHi7xH",NA,NA,NA,NA,"1","1","24","2","2","1","1","2","1","1",NA,"Peter",NA,"your cousin","Peter",1,1,5,5,0.666666666666667,0.666666666666667,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,"S1",3,3,6,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:33:53","2013-12-18 15:42:12","IP Address","107.4.179.154",NA,"499","true","2013-12-18 15:42:12","R_0eN9sWMFo4Q9bcp",NA,NA,NA,NA,"1","1","10","1","2","1","1","1","1","1","2","John",NA,"an acquaintance","John",1,1,6,7,0.533333333333333,0.4,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,"S1",4,4,2,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:50:38","2013-12-18 11:58:00","IP Address","66.215.173.31",NA,"442","true","2013-12-18 11:58:00","R_0eQSyAMSgJNxeiF",NA,NA,NA,NA,"1","2","18","2","2","1","1","1","1","1","1","Eric","1","your oldest living sibling","Eric",1,1,7,8,0.4,0.266666666666667,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,"S1",5,5,4,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:49:08","2013-12-18 15:56:47","IP Address","184.101.13.116",NA,"459","true","2013-12-18 15:56:48","R_0f7b3Tm4vtXdDSd",NA,NA,NA,NA,"1","1","26","1","2","2","2","2",NA,NA,NA,"Ursa",NA,"your mother","Ursa",1,0,7,1,0.4,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,"S1",3,3,3,3,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:32:30","2013-12-18 15:39:51","IP Address","75.68.144.231",NA,"441","true","2013-12-18 15:39:51","R_0fCbT2oLBAIupb7",NA,NA,NA,NA,"1","1","41","1","2","1","1","1","1","1","2","Jean",NA,"your mother","Jean",1,1,3,2,0.933333333333333,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",4,4,4,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 09:02:26","2013-12-18 15:07:33","IP Address","67.189.66.20",NA,"21907","true","2013-12-18 15:07:33","R_0fEDYtNV6kHYNRX",NA,NA,NA,NA,"1","1","11","1","1","1","1","2","1","1",NA,"Chris",NA,"an acquaintance","Chris",1,1,2,3,1.06666666666667,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",3,3,4,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:22:51","2013-12-18 15:33:39","IP Address","74.196.206.250",NA,"648","true","2013-12-18 15:33:39","R_0H7kOQz0GBMuqMJ",NA,NA,NA,NA,"1","1","23","1","1","1","1","1","1","1","2","Brittany ",NA,"your romantic partner","Brittany ",1,1,2,2,1.06666666666667,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",6,6,6,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:47:05","2013-12-18 11:53:59","IP Address","98.217.34.111",NA,"414","true","2013-12-18 11:53:59","R_0HBSy3fSQRf8pb7",NA,NA,NA,NA,"1","1","8","1","1","1","1","2","1","1",NA,"Sara",NA,"your cousin","Sara",1,1,7,7,0.4,0.4,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,"S1",3,3,4,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:10:32","2013-12-18 15:18:51","IP Address","24.34.255.114",NA,"499","true","2013-12-18 15:18:51","R_0HD4OGYgIRrer8F",NA,NA,NA,NA,"1","2","14","1","1","1","1","1","1","1","2","deb",NA,"your closest friend","deb",1,1,5,6,0.666666666666667,0.533333333333333,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,"S1",3,3,3,3,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:16:00","2013-12-18 15:22:11","IP Address","174.25.70.206",NA,"371","true","2013-12-18 15:22:11","R_0HWOBqc4gnJ5tsx",NA,NA,NA,NA,"1","2","7","1","1","1","1","1","1","1","1","Alex",NA,"an acquaintance","Alex",1,1,7,6,0.4,0.533333333333333,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,"S1",4,4,1,3,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 16:10:31","2013-12-18 16:19:00","IP Address","75.181.17.38",NA,"509","true","2013-12-18 16:19:00","R_0iHxSpb8obLuM3b",NA,NA,NA,NA,"1","1","5","1","1","1","1","1","1","1","2","Cary",NA,"your mother","Cary",1,1,8,2,0.266666666666667,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,"S1",2,2,4,3,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:48:37","2013-12-18 11:56:30","IP Address","66.188.60.133",NA,"473","true","2013-12-18 11:56:30","R_0j2ayWJpBHmogVn",NA,NA,NA,NA,"1","1","25","1","1","1","1","1","1","1","2","Matt","1","your oldest living sibling","Matt",1,1,2,3,1.06666666666667,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",4,4,3,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:17:34","2013-12-18 15:21:22","IP Address","74.79.15.9",NA,"228","true","2013-12-18 15:21:23","R_0jGMC8ki8v9ANIF",NA,NA,NA,NA,"1","1","11","1","1","1","1","1","1","1","1","Brandan",NA,"your closest friend","Brandan",0,0,1,1,1.13333333333333,1.13333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"S1",3,5,3,3,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:42:56","2013-12-18 15:44:51","IP Address","129.22.194.152",NA,"115","false","2013-12-25 15:45:14","R_0JHTHKudRGSNmPr",NA,NA,NA,NA,"1","1","14","1","1","1","1","1","1","1","2","Mary",NA,"your mother","Mary",1,1,3,2,0.933333333333333,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",NA,NA,NA,NA,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:51:34","2013-12-18 11:56:40","IP Address","70.176.105.9",NA,"306","true","2013-12-18 11:56:40","R_0jLxvjBOstNBPcF",NA,NA,NA,NA,"1","1","15","1","1","1","1","2","1","1",NA,"Robert",NA,"your father","Robert",1,1,6,9,0.533333333333333,0.133333333333333,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,"S1",1,1,3,1,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:49:41","2013-12-18 11:52:39","IP Address","107.207.210.134",NA,"178","false","2013-12-18 12:00:46","R_0kye3WaVNiN6fmR",NA,NA,NA,NA,"1","1","13","1","1","1","1","1","1","1","2",NA,NA,"a stranger","a stranger",1,1,5,9,0.666666666666667,0.133333333333333,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,"S1",4,4,6,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:56:11","2013-12-18 12:00:02","IP Address","96.244.133.66",NA,"231","false","2013-12-18 12:00:46","R_0l9Tr3pSUYvDYoJ",NA,NA,NA,NA,"1","1","34","2","2","2","1","1",NA,"1","2","Greg",NA,"your cousin","Greg",1,1,10,10,0.0333333333333333,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"S1",5,5,5,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:56:46","2013-12-18 11:59:53","IP Address","69.244.62.193",NA,"187","false","2013-12-18 12:00:46","R_0N8en6s5RwAu8kt",NA,NA,NA,NA,"1","2","30","1","2","1","1","1","1","1","1","D",NA,"your closest friend","D",1,1,2,3,1.06666666666667,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",NA,NA,NA,NA,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:06:44","2013-12-18 15:06:44","IP Address","68.8.115.244",NA,"-20669","true","2013-12-18 09:22:15","R_0NETrTaFCtXskHX",NA,NA,NA,NA,"1","2","8","1","1","1","1","1","1","1","1","Joann",NA,"your mother","Joann",0,1,1,10,1.13333333333333,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,"S1",5,5,5,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:45:26","2013-12-18 16:13:53","IP Address","71.193.129.201",NA,"1707","true","2013-12-18 16:13:54","R_0NWx5PIvf33pejb",NA,NA,NA,NA,"1","2","15","1","1","1","1","1","1","1","1","Stephen","1","your oldest living sibling","Stephen",0,1,1,7,1.13333333333333,0.4,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"S1",1,1,1,1,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:09:39","2013-12-18 15:15:27","IP Address","67.249.75.153",NA,"348","true","2013-12-18 15:15:27","R_0ODNbMUlsjrcuC9",NA,NA,NA,NA,"1","1","26","1","1","2","2","1",NA,NA,"2",NA,NA,"a stranger","a stranger",1,1,10,10,0.0333333333333333,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"S1",1,2,1,2,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:17:07","2013-12-18 15:37:47","IP Address","137.200.0.109",NA,"1240","false","2013-12-25 15:38:11","R_0OH5wJPjWNrulBX",NA,NA,NA,NA,"1","1","15","1","1","2","1","1",NA,"1","2","Jessica",NA,"your romantic partner","Jessica",1,0,2,1,1.06666666666667,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",NA,NA,NA,NA,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:02:52","2013-12-18 15:10:46","IP Address","68.185.130.191",NA,"474","true","2013-12-18 15:10:46","R_0OIyDKRAVSDMZMx",NA,NA,NA,NA,"1","1","19","1","1","1","1","2","1","1",NA,"Emily",NA,"your mother","Emily",1,1,5,3,0.666666666666667,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,"S1",3,4,2,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 14:49:31","2013-12-18 14:56:14","IP Address","68.199.240.106",NA,"403","true","2013-12-18 14:56:14","R_0P8KuEEWhmjrkB7",NA,NA,NA,NA,"1","2","4","1","2","1","1","1","1","1","1","Kay",NA,"an acquaintance","Kay",0,1,NA,3,0,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"S1",1,1,1,1,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:54:50","2013-12-18 12:00:01","IP Address","98.70.225.36",NA,"311","false","2013-12-18 12:00:47","R_0pnTdk65xinyZdH",NA,NA,NA,NA,"1","1","28","1","1","2","2","2",NA,NA,NA,"Bob",NA,"your closest friend","Bob",1,1,8,7,0.266666666666667,0.4,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,"S1",2,2,4,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:25:46","2013-12-18 15:30:08","IP Address","75.176.164.76",NA,"262","true","2013-12-18 15:30:08","R_0PoUHiL7EJ5jQ7b",NA,NA,NA,NA,"1","1","14","1","2","1","1","2","1","1",NA,"mike",NA,"an acquaintance","mike",1,1,10,10,0.0333333333333333,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"S1",1,1,6,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:05:51","2013-12-18 15:14:51","IP Address","162.235.196.177",NA,"540","true","2013-12-18 15:14:52","R_0qBIx2JqYOA7OiV",NA,NA,NA,NA,"1","1","13","2","2","1","2","2","1",NA,NA,"randy","1","your oldest living sibling","randy",0,1,1,10,1.13333333333333,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,"S1",6,6,6,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 14:49:10","2013-12-18 15:06:13","IP Address","108.132.182.184",NA,"1023","true","2013-12-18 15:06:13","R_0rcT71p0TMF5Rd3",NA,NA,NA,NA,"1","1","34","2","2","2","1","1",NA,"1","2",NA,NA,"a stranger","a stranger",1,1,8,10,0.266666666666667,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"S1",2,3,1,2,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:53:27","2013-12-18 12:00:03","IP Address","71.227.35.235",NA,"396","false","2013-12-18 12:00:47","R_0Tfl28SGCUc2181",NA,NA,NA,NA,"1","1","40","1","2","1","1","1","1","1","2","Cyndy","2","your oldest living sibling","Cyndy",1,1,3,3,0.933333333333333,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",3,4,4,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 14:54:27","2013-12-18 14:54:27","IP Address","24.19.134.27",NA,"-21039","true","2013-12-18 09:03:48","R_0U21hM66FvEpyXX",NA,NA,NA,NA,"1","1","22","2","1","1","1","2","1","1",NA,"Gene","1","your oldest living sibling","Gene",1,1,6,7,0.533333333333333,0.4,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,"S1",4,3,5,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:15:02","2013-12-18 15:20:47","IP Address","68.193.107.130",NA,"345","true","2013-12-18 15:20:47","R_0U6dx6j2JNQMfRP",NA,NA,NA,NA,"1","1","8","1","1","1","1","1","1","1","2","Chris",NA,"your father","Chris",1,1,2,3,1.06666666666667,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",4,4,5,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:21:29","2013-12-18 15:31:27","IP Address","184.167.90.122",NA,"598","true","2013-12-18 15:31:27","R_0uedlJRSQ3w6jml",NA,NA,NA,NA,"1","2","41","2","2","1","1","1","1","1","1","Lee","2","your oldest living sibling","Lee",1,0,5,NA,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,"S1",4,2,2,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:03:16","2013-12-18 15:08:56","IP Address","157.229.149.193",NA,"340","true","2013-12-18 15:08:56","R_0uNwrYkmqo7qUO9",NA,NA,NA,NA,"1","2","8","1","1","1","1","1","1","1","1","Martin",NA,"your father","Martin",1,0,4,1,0.8,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,"S1",6,6,6,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:19:19","2013-12-18 15:34:53","IP Address","98.224.42.75",NA,"934","true","2013-12-18 15:34:53","R_0UOyaZTrny24EmN",NA,NA,NA,NA,"1","1","7","1","1","2","1","2",NA,"1",NA,"amanda",NA,"your cousin","amanda",1,1,9,10,0.133333333333333,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"S1",2,3,1,3,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:49:38","2013-12-18 11:55:07","IP Address","69.204.84.160",NA,"329","true","2013-12-18 11:55:07","R_0V7a3YvRXPdY1hP",NA,NA,NA,NA,"1","2","17","1","1","2","1","1",NA,"1","1",NA,NA,"a stranger","a stranger",1,1,10,10,0.0333333333333333,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"S1",4,4,3,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:54:45","2013-12-18 12:00:02","IP Address","173.22.32.124",NA,"317","false","2013-12-18 12:00:47","R_0VRYMrS2XdhTWw5",NA,NA,NA,NA,"1","1","15","1","1","1","1","1","1","1","2","Mike",NA,"your closest friend","Mike",1,1,2,2,1.06666666666667,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",4,5,3,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:06:52","2013-12-18 15:14:12","IP Address","74.36.176.137",NA,"440","true","2013-12-18 15:14:12","R_0VZ1v7wNTMXmKpv",NA,NA,NA,NA,"1","2","8","1","1","1","1","1","1","1","1","Andrew",NA,"your closest friend","Andrew",1,1,3,3,0.933333333333333,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",5,5,6,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:13:22","2013-12-18 15:21:08","IP Address","69.243.118.9",NA,"466","true","2013-12-18 15:21:08","R_0wVc8plZ6uXAE73",NA,NA,NA,NA,"1","1","11","1","1","1","1","1","1","1","2","Michael",NA,"your father","Michael",1,1,3,2,0.933333333333333,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",5,5,5,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:18:36","2013-12-18 15:24:29","IP Address","50.23.131.237",NA,"353","true","2013-12-18 15:24:29","R_1AZBRb03dPt8tA9",NA,NA,NA,NA,"1","1","21","1","1","1","1","1","1","1","2","Jim",NA,"your father","Jim",1,1,3,3,0.933333333333333,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",2,3,2,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:08:01","2013-12-18 15:26:30","IP Address","174.50.119.72",NA,"1109","true","2013-12-18 15:26:31","R_1B7uZXqmRl3sRyB",NA,NA,NA,NA,"1","2","6","2","1","1","1","1","1","1","1","lexi",NA,"your cousin","lexi",1,1,8,10,0.266666666666667,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"S1",6,6,1,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:46:28","2013-12-18 11:50:47","IP Address","207.108.188.16",NA,"259","true","2013-12-18 11:50:47","R_1C8oOX5r0omWfo9",NA,NA,NA,NA,"1","1","16","1","1","1","1","1","1","1","2","Jason","1","your oldest living sibling","Jason",1,0,5,1,0.666666666666667,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,"S1",4,4,2,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 08:47:04","2013-12-18 14:55:09","IP Address","181.134.135.137",NA,"22085","true","2013-12-18 14:55:09","R_1CgZL6PWxGiivFH",NA,NA,NA,NA,"1","2","25","1","1","1","1","1","1","1","1","Lovely",NA,"your cousin","Lovely",1,1,5,7,0.666666666666667,0.4,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,"S1",4,5,4,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:07:01","2013-12-18 15:13:21","IP Address","75.136.46.168",NA,"380","true","2013-12-18 15:13:22","R_1FvCB7hxTlT0Wd7",NA,NA,NA,NA,"1","1","11","2","1","1","1","2","1","1",NA,NA,NA,"a stranger","a stranger",0,0,1,1,1.13333333333333,1.13333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"S1",3,3,5,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:49:54","2013-12-18 11:53:54","IP Address","198.45.238.176",NA,"240","false","2013-12-18 12:00:47","R_1FvrY7CwBJf0Hkh",NA,NA,NA,NA,"1","2","35","2","2","1","1","2","1","1",NA,"Frank","1","your oldest living sibling","Frank",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S1",3,3,5,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:50:22","2013-12-18 11:56:53","IP Address","98.214.232.143",NA,"391","true","2013-12-18 11:56:53","R_1FZOmvlaJj0LFBz",NA,NA,NA,NA,"1","2","19","2","1","1","1","1","1","1","1","Joe","1","your oldest living sibling","Joe",1,0,2,1,1.06666666666667,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",5,5,2,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:48:40","2013-12-18 12:00:02","IP Address","166.224.140.253",NA,"682","false","2013-12-18 12:00:47","R_1G6oMWN5MU7ik61",NA,NA,NA,NA,"1","2","29","1","1","2","1","2",NA,"1",NA,NA,NA,"a stranger","a stranger",1,1,6,8,0.533333333333333,0.266666666666667,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,"S1",2,2,6,3,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:14:45","2013-12-18 15:29:19","IP Address","164.76.32.163",NA,"874","false","2013-12-25 15:29:32","R_1GjcbMHyIvIwVyB",NA,NA,NA,NA,"1","1","13","1","1","1","1","1","1","1","2","Jose",NA,"your father","Jose",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S1",4,4,3,4,26.0048076923077,1.4150536464793,-0.671921334541769
